Территория/Регион,BasicClothingAffordability,ChildNecessitiesMetIndex,FoodInsecurity_any,BasicClothing_Hotspot,HolidayAffordability,InternetAccess,InternetAccess_Low_Hotspot,MaterialStatusDistribution,Measure,MissedPayments_Hotspot,MissedPaymentsRate,Region_HardshipScore,RegularInternetUse,SevereFoodInsecurity,SevereFoodInsecurity_Hotspot,SocialAffordability,UnexpectedExpense_Low_Hotspot,UnexpectedExpenseCoverage,UnmetHealthcare_Hotspot,UnmetHealthcareNeed,WelfareTrendDistribution,HardshipScore_Total,HardshipRank,FoodInsecurity_Hotspot
Абайская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Акмолинская область,1,,0.333333333,1,1,,1,20,,1,1,2,1,,0,1,0,1,0,,20,3,3,0
Актюбинская область,1,,0.333333333,0,1,,1,7,,1,1,2,1,,0,1,0,1,0,,7,2,4,0
г. Алматы,1,,0.5,0,1,,1,6,,0,0,1,1,,0,1,0,1,0,,6,2,4,0
Алматинская область,1,,,0,1,,1,14,,0,0,1,1,,0,1,0,1,0,,14,1,5,0
г. Астана,1,1,1,0,1,,1,7,,1,1,3,1,,0,1,1,1,0,,7,4,2,1
Атырауская область,1,,0.333333333,0,1,,1,11,,0,0,1,1,,0,1,1,1,0,,11,2,4,0
Восточно-Казахстанская область,1,,0.333333333,1,0,,1,12,,0,0,1,0,,0,1,1,1,0,,12,3,3,0
Карагандинская область,1,1,0.666666667,0,1,,1,17,,1,1,3,1,,0,1,0,1,0,,17,3,3,1
Костанайская область,1,1,0.666666667,1,1,,1,10,,0,0,2,1,,0,1,1,1,0,,10,4,2,1
Кызылординская область,1,1,0.5,1,1,,1,9,,0,1,1,1,,0,1,1,1,0,,9,3,3,0
Мангистауская область,1,1,0.4,1,0,,1,15,,0,,1,1,0,0,1,1,1,0,,15,3,3,0
Северо-Казахстанская область,1,,0.666666667,0,0,,1,8,,1,1,3,1,,0,1,1,1,0,,8,4,2,1
Павлодарская область,1,1,0.5,1,1,,1,9,,1,1,2,1,,0,1,0,1,0,,9,3,3,0
г. Шымкент,1,,0.333333333,1,1,,1,7,,1,1,2,1,,0,1,1,1,0,,7,4,2,0
Южно-Казахстанская область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Туркестанская область,1,,0.666666667,1,1,,1,12,,1,1,3,1,0,1,1,0,1,0,,12,5,1,1
Ұлытау область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Западно - Казахстанская область,1,1,0.333333333,1,0,,1,11,,0,0,1,0,,0,1,1,1,0,,11,3,3,0
Жамбылская область,1,1,0.5,1,1,0,0,12,,0,0,0,1,0,0,1,0,1,0,,12,1,5,0
Жетісу область,,,,1,,,1,,,0,,1,,,0,,1,,0,,,4,2,0
Абайская область,,,,0,,,0,,,0,,0,,,0,,0,,0,,,0,1,0
