AgeGroup,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
39–48,1,1,7,8,8,8,4
29–38,1,2,5,8,89,8,10
39–48,1,2,7,8,4,5,8
29–38,1,2,8,10,7,9,4
39–48,1,3,5,89,6,4,89
58 и старше,1,3,8,7,7,8,7
29–38,1,3,10,4,8,2,1
49–57,1,4,3,9,8,8,7
18–28,1,4,4,6,10,6,6
49–57,1,4,4,9,5,10,9
58 и старше,1,4,6,8,8,7,6
18–28,1,4,7,5,8,9,4
58 и старше,1,4,7,7,4,6,6
58 и старше,1,4,8,7,7,7,7
58 и старше,1,4,9,7,6,6,5
18–28,1,4,10,3,10,10,89
39–48,1,5,2,10,9,10,89
58 и старше,1,5,5,4,4,7,5
18–28,1,5,5,10,10,10,4
15–17,1,5,8,6,10,10,4
39–48,1,5,8,7,7,7,7
39–48,1,5,8,9,8,8,9
58 и старше,1,5,10,10,6,10,10
29–38,1,6,4,8,10,10,9
58 и старше,1,6,5,6,8,8,8
58 и старше,1,6,6,8,7,10,7
49–57,1,6,7,3,8,10,9
39–48,1,6,7,5,9,4,4
49–57,1,6,7,6,10,6,9
29–38,1,6,7,7,9,7,8
39–48,1,6,7,9,9,7,7
39–48,1,6,8,4,6,10,6
29–38,1,6,8,5,6,7,89
58 и старше,1,6,8,5,9,5,5
49–57,1,6,8,6,9,10,4
49–57,1,6,8,7,6,9,89
58 и старше,1,6,8,8,6,7,6
29–38,1,6,8,8,8,8,7
18–28,1,6,9,4,6,89,89
29–38,1,6,10,5,5,89,5
15–17,1,6,10,5,6,6,7
58 и старше,1,6,10,6,9,4,6
29–38,1,6,10,7,8,4,6
58 и старше,1,6,10,9,7,9,4
29–38,1,6,10,9,10,9,9
39–48,1,6,10,10,8,9,9
29–38,1,6,10,10,10,9,5
29–38,1,6,89,10,10,7,9
58 и старше,1,7,4,7,5,6,7
18–28,1,7,4,8,3,8,9
18–28,1,7,4,8,8,89,7
29–38,1,7,5,3,3,4,10
39–48,1,7,5,9,9,7,7
58 и старше,1,7,6,3,6,10,6
29–38,1,7,6,4,7,6,9
29–38,1,7,6,5,6,6,6
39–48,1,7,6,6,6,8,7
58 и старше,1,7,6,6,9,8,7
58 и старше,1,7,6,7,10,89,7
58 и старше,1,7,6,8,9,9,6
18–28,1,7,6,8,9,89,9
58 и старше,1,7,6,8,9,89,89
58 и старше,1,7,6,9,10,8,9
18–28,1,7,7,7,4,7,6
58 и старше,1,7,7,9,8,5,7
39–48,1,7,7,10,6,89,9
49–57,1,7,7,10,7,8,5
39–48,1,7,8,7,7,9,7
58 и старше,1,7,8,7,9,4,7
49–57,1,7,8,8,8,6,8
29–38,1,7,8,9,7,89,9
29–38,1,7,8,9,9,6,10
39–48,1,7,9,5,7,8,7
29–38,1,7,9,8,10,10,10
58 и старше,1,7,9,10,9,89,7
58 и старше,1,7,10,4,5,89,5
39–48,1,7,10,5,6,8,6
39–48,1,7,10,5,8,89,6
29–38,1,8,2,6,8,8,9
18–28,1,8,3,8,8,8,9
58 и старше,1,8,4,8,10,9,5
58 и старше,1,8,4,9,9,6,8
39–48,1,8,4,10,8,89,7
18–28,1,8,5,7,7,7,5
29–38,1,8,5,7,8,10,6
49–57,1,8,6,4,6,5,5
49–57,1,8,6,6,10,8,4
49–57,1,8,6,7,7,8,7
58 и старше,1,8,6,7,7,10,10
29–38,1,8,6,8,4,7,10
18–28,1,8,7,7,8,7,5
15–17,1,8,7,7,8,9,9
58 и старше,1,8,7,7,8,10,7
49–57,1,8,7,8,10,9,7
58 и старше,1,8,7,9,8,8,6
39–48,1,8,7,10,9,9,8
18–28,1,8,8,5,4,7,6
29–38,1,8,8,6,4,9,7
18–28,1,8,8,6,9,8,9
58 и старше,1,8,8,7,8,8,4
58 и старше,1,8,8,7,8,89,7
58 и старше,1,8,8,7,9,6,6
49–57,1,8,8,8,8,8,8
29–38,1,8,8,8,9,9,8
29–38,1,8,8,8,9,10,8
58 и старше,1,8,8,9,8,9,5
29–38,1,8,8,10,8,8,4
29–38,1,8,8,10,8,9,6
49–57,1,8,9,6,8,4,7
15–17,1,8,9,6,8,8,4
49–57,1,8,9,7,6,8,4
58 и старше,1,8,9,7,9,9,5
58 и старше,1,8,9,8,7,8,7
29–38,1,8,9,8,9,89,6
39–48,1,8,9,9,6,4,8
