Территория/Регион,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Акмолинская область,1,1,7,8,8,8,4
Костанайская область,1,2,5,8,89,8,10
Актюбинская область,1,2,7,8,4,5,8
Костанайская область,1,2,8,10,7,9,4
Павлодарская область,1,3,5,89,6,4,89
Жамбылская область,1,3,8,7,7,8,7
г. Астана,1,3,10,4,8,2,1
Актюбинская область,1,4,3,9,8,8,7
Павлодарская область,1,4,4,6,10,6,6
Карагандинская область,1,4,4,9,5,10,9
Кызылординская область,1,4,6,8,8,7,6
Туркестанская область,1,4,7,5,8,9,4
г. Шымкент,1,4,7,7,4,6,6
Западно - Казахстанская область,1,4,8,7,7,7,7
Актюбинская область,1,4,9,7,6,6,5
г. Шымкент,1,4,10,3,10,10,89
Актюбинская область,1,5,2,10,9,10,89
Актюбинская область,1,5,5,4,4,7,5
Западно - Казахстанская область,1,5,5,10,10,10,4
Павлодарская область,1,5,8,6,10,10,4
Восточно-Казахстанская область,1,5,8,7,7,7,7
г. Алматы,1,5,8,9,8,8,9
г. Шымкент,1,5,10,10,6,10,10
Павлодарская область,1,6,4,8,10,10,9
Туркестанская область,1,6,5,6,8,8,8
Мангистауская область,1,6,6,8,7,10,7
Алматинская область,1,6,7,3,8,10,9
Восточно-Казахстанская область,1,6,7,5,9,4,4
Туркестанская область,1,6,7,6,10,6,9
г. Шымкент,1,6,7,7,9,7,8
Акмолинская область,1,6,7,9,9,7,7
Павлодарская область,1,6,8,4,6,10,6
Актюбинская область,1,6,8,5,6,7,89
г. Алматы,1,6,8,5,9,5,5
Атырауская область,1,6,8,6,9,10,4
Атырауская область,1,6,8,7,6,9,89
Атырауская область,1,6,8,8,6,7,6
г. Шымкент,1,6,8,8,8,8,7
Акмолинская область,1,6,9,4,6,89,89
Северо-Казахстанская область,1,6,10,5,5,89,5
г. Астана,1,6,10,5,6,6,7
Павлодарская область,1,6,10,6,9,4,6
Павлодарская область,1,6,10,7,8,4,6
Акмолинская область,1,6,10,9,7,9,4
Акмолинская область,1,6,10,9,10,9,9
г. Шымкент,1,6,10,10,8,9,9
г. Шымкент,1,6,10,10,10,9,5
г. Шымкент,1,6,89,10,10,7,9
Атырауская область,1,7,4,7,5,6,7
Карагандинская область,1,7,4,8,3,8,9
Павлодарская область,1,7,4,8,8,89,7
г. Шымкент,1,7,5,3,3,4,10
г. Алматы,1,7,5,9,9,7,7
Северо-Казахстанская область,1,7,6,3,6,10,6
Жамбылская область,1,7,6,4,7,6,9
г. Алматы,1,7,6,5,6,6,6
Атырауская область,1,7,6,6,6,8,7
Восточно-Казахстанская область,1,7,6,6,9,8,7
Западно - Казахстанская область,1,7,6,7,10,89,7
Павлодарская область,1,7,6,8,9,9,6
Костанайская область,1,7,6,8,9,89,9
г. Астана,1,7,6,8,9,89,89
Акмолинская область,1,7,6,9,10,8,9
Павлодарская область,1,7,7,7,4,7,6
г. Алматы,1,7,7,9,8,5,7
Карагандинская область,1,7,7,10,6,89,9
Алматинская область,1,7,7,10,7,8,5
Атырауская область,1,7,8,7,7,9,7
Карагандинская область,1,7,8,7,9,4,7
Туркестанская область,1,7,8,8,8,6,8
Мангистауская область,1,7,8,9,7,89,9
Мангистауская область,1,7,8,9,9,6,10
Костанайская область,1,7,9,5,7,8,7
Кызылординская область,1,7,9,8,10,10,10
г. Алматы,1,7,9,10,9,89,7
Алматинская область,1,7,10,4,5,89,5
Карагандинская область,1,7,10,5,6,8,6
Жамбылская область,1,7,10,5,8,89,6
г. Шымкент,1,8,2,6,8,8,9
Алматинская область,1,8,3,8,8,8,9
Акмолинская область,1,8,4,8,10,9,5
Туркестанская область,1,8,4,9,9,6,8
Атырауская область,1,8,4,10,8,89,7
Атырауская область,1,8,5,7,7,7,5
Актюбинская область,1,8,5,7,8,10,6
Костанайская область,1,8,6,4,6,5,5
Акмолинская область,1,8,6,6,10,8,4
Актюбинская область,1,8,6,7,7,8,7
Павлодарская область,1,8,6,7,7,10,10
Жамбылская область,1,8,6,8,4,7,10
Карагандинская область,1,8,7,7,8,7,5
